------------->>>>>>>>>>>>>>>>>>> ITERATION = 1
time	DRH	Assumed_UH	Corrected_UH	Response_for 2.4	Response_for 5.6	Response_for 3.0	Add_Response_except_max		New_UH		Weighted_average
3.0	35.0	3.2		3.2			7.7			0.0			0.0			7.7			0.0			1.6
6.0	240.0	21.8		22.0			52.8			27.3			0.0			52.8			4.88			13.3
9.0	675.0	61.4		62.1			149.0			187.2			9.6			158.6			33.43			47.5
12.0	1140.0	103.6		104.7			251.3			516.4			66.0			317.3			92.21			98.3
15.0	1375.0	125.0		126.3			303.1			822.7			186.3			489.4			146.91			136.8
18.0	1345.0	122.3		123.6			296.6			885.6			314.1			610.7			158.14			141.2
21.0	1145.0	104.1		105.2			252.5			734.3			378.9			631.4			131.12			118.4
24.0	890.0	80.9		81.8			196.3			513.6			370.8			567.1			91.71			86.8
27.0	645.0	58.6		59.2			142.1			322.9			315.6			457.7			57.66			58.4
30.0	445.0	40.5		40.9			98.2			187.3			245.4			343.6			33.45			37.1
33.0	290.0	26.4		26.7			64.1			101.4			177.6			241.7			18.11			22.3
36.0	190.0	17.3		17.5			42.0			48.3			122.7			164.7			8.62			13.0
39.0	110.0	10.0		10.1			24.2			25.3			80.1			104.3			4.52			7.3
42.0	70.0	6.4		6.5			15.6			5.7			52.5			68.1			1.02			3.7
45.0	30.0	2.7		2.7			6.5			1.9			30.3			36.8			0.34			1.5
48.0	10.0	0.9		0.9			2.2			0			19.5			21.7			0.0			0.4
------------->>>>>>>>>>>>>>>>>>> ITERATION = 2
time	DRH	Assumed_UH	Corrected_UH	Response_for 2.4	Response_for 5.6	Response_for 3.0	Add_Response_except_max		New_UH		Weighted_average
3.0	35.0	1.6		1.6			3.8			0.0			0.0			3.8			0.0			0.8
6.0	240.0	13.3		13.4			32.2			31.2			0.0			32.2			5.57			9.4
9.0	675.0	47.5		48.0			115.2			207.8			4.8			120.0			37.11			42.5
12.0	1140.0	98.3		99.4			238.6			555.0			40.2			278.8			99.11			99.3
15.0	1375.0	136.8		138.3			331.9			861.2			144.0			475.9			153.79			146.2
18.0	1345.0	141.2		142.7			342.5			899.1			298.2			640.7			160.55			151.8
21.0	1145.0	118.4		119.7			287.3			704.3			414.9			702.2			125.77			122.8
24.0	890.0	86.8		87.7			210.5			442.8			428.1			638.6			79.07			83.3
27.0	645.0	58.4		59.0			141.6			251.4			359.1			500.7			44.89			51.8
30.0	445.0	37.1		37.5			90.0			144.3			263.1			353.1			25.77			31.5
33.0	290.0	22.3		22.5			54.0			91.9			177.0			231.0			16.41			19.4
36.0	190.0	13.0		13.1			31.4			59.0			112.5			143.9			10.54			11.8
39.0	110.0	7.3		7.4			17.8			46.1			67.5			85.3			8.23			7.8
42.0	70.0	3.7		3.7			8.9			24.7			39.3			48.2			4.41			4.1
45.0	30.0	1.5		1.5			3.6			21.8			22.2			25.8			3.89			2.7
48.0	10.0	0.4		0.4			1.0			4.2			11.1			12.1			0.75			0.6
------------->>>>>>>>>>>>>>>>>>> ITERATION = 3
